,stars,title,content
0,1,Terrible,I've had my printer for a year. It stopped working and showed me a message to set up my printer. Obviously i had done this since i was using it for a year. I tried using virtual assistant since that's all that is available on the app that needs to be used with this printer and it kept routing me in circles..doing the same thing over and over. It was not helpful. I googled a number and was finally able to speak with someone. He told me the driver was outdated and they could do a remote install but it would cost me almost 300 dollars and that would ensure that the printer would automatically get updates when drivers needed updated. I was shocked and said that seems steep..idk if I even paid that much fpr the printer. He said ok and HUNG UP on me! This printer is useless to me now. It won't work without me doing this expensive update.
1,1,Instant ink is a JOKE,I will never purchase another HP product again.  I run 9 HP commercial printers at my shop so i decided to get one for my home.  I ASSUMMED (my fault) that if i didn't want the instant ink auto delivered that i could just buy ink as needed.  I was wrong. they second the subscription ends your printer no longer works.  the subscription is 13.99/month!  NO THANKS no more HP for me or my business!
2,1,Avoid,The printer itself is decent. HP promotes their InstaInk subscription for $7.99 a month and they claim they will send you new cartridges if the printer senses it's running out of ink. After having this printer for 1 year and being enrolled in the Insta Ink subscription - I've only received one set of replacements.  I decided to go ahead and cancel it seeing as I don't use the printer enough to need often shipments of ink refills. The cost out weighs the benefit for me. But now my ink cartridges cannot be used unless enrolled in the subscription and I'll have to pay for refills from elsewhere. I've paid almost $100.00 over this year for the subscription but now can not use the ink I've paid for....  Ridiculous.
3,1,a bit suspicious of the 3 month ink supply,"I've had a series of errors with the printer which are hopefully resolved.  Yet the claim of 3 months of ink is a joke.  I don't print much about 1 page a day and their simple b&w with a trace of color.  After 4 weeks ALL ink cartridges are spent.  All at the same time, now I need to spend the price of the printer on new ink.  Either a coincidence or a scam."
4,1,"If you want to waste time, buy this one!","This printer frequently ""resets"" itself and no longer will attach to the WiFi, even though nothing has changed in the WiFi and all other electronics remain connected. Troubleshooters are the worst with help.  (No, it does not help that the English is unclear.)Though it's under warranty for 6 months, HP won't do anything because they can get it to reconnect for a *few days.  To test it last time, I connected it to a friend's WiFi and had the same issues over the weekend.Save yourself the headache; skip this one. Off to Costco to purchase a non-HP, where a warranty means something."
5,1,Do not get bamboozled into HP Instant Ink,"After the free trial on ink ran out, there were issues with the printer being disconnected from my internet service.  Subsequently, a message appeared on the printer that it was unusable until enrolled in the HP instant ink program.  It was enrolled, in fact, I had just increased my page allowance for the third month after the initial free months.  I sent emails, no response, so I boxed up the printer, cancelled my account, and went shopping.  Now I am using a hassle-free printer with no problems or page limits.  Congrats, HP.  You lost a 30-year customer."
6,1,Burns up ink like no other,"I really hate this printer. I had an HP printer previously that I loved, but the rollers were getting worn out so it was time to replace it. This printer burns through ink cartridges fast!  Granted I do print a lot of things on a daily basis, but the big issue is you have to use the HP refills which are expensive, and I am having to replace them once a month. My last HP I could use the refurbished ones that were WAY cheaper and lasted WAY longer. This one...nope! It rejects anything except an actual HP cartridge.  It also spends a ton of time doing lots of resetting noisy things before it wants to print, not to mention that it doesn't really like to stay online and scan when you need it to. It still works, but I will be so happy to replace it with a different brand! No one deserves to be stuck with this expensive maintenance POS so I will happily throw it on the ground to break it and toss it in the trash."
7,1,Horrible,"Terrible product. It takes FOREVER to load and takes forever to print and makes all these unnecessary obnoxious noises, sometimes for 10 minutes before printing out a single sheet.Also, I signed up for free ink for 6 months upon purchase and had to give my debit card info. I lost my debit card and didn’t update it so they couldn’t charge me after 6 months. I forgot to cancel it sure, but it’s not that big of a deal.However, I tried to scan my own ID at home for something I needed right away, and the printer displays a message saying that there is a problem with my HP account and I cannot use my printer until I resolve it!! That is absolute TRASH! HP should NOT have that much power over my own printer over the instant ink. That’s a whole separate issue!! Infuriating is an understatement.Then when I went to my account to cancel the instant ink, my printer still wouldn’t work.When I tried to use support. The messages were automated, not even a real person and didn’t understand my problem. I hate this printer and will be throwing it in the trash. I’ve always had HP products but will NEVER again."
8,1,Don't buy,"I was HP brand loyal but this printer changed my mind.  We have three large HP printers and this was just for a short term location that didn't print much.  What a waste of time and money.  Purchased in June 2023 and as of September 2024 it is in the trash.  Constant problems with this printer.  And, finally it has quit printing at all.  Did all the diagnostics recommended and nothing.  Bought an Epson for less money and it works just fine.  HP's ink subscription is a total rip-off.  If you have problems with a cartridge, you can't just go buy a new HP cartridge - it won't work - you have to wait for a new one to be shipped, so effectively you have no printer.  And, they do not overnight the cartridges when one is bad."
9,1,wastes ink and paper with constant need for alignment,"This printer - as is probably all HPs - is a pain in that it forces you to print alignment page every time the power goes off or you change cartridges.  I can't find a usable work around.  Of course, I finally try to go to support days after my warranty ended.  If you get this, make sure you TRY to get through to support (that's a whole 'nother process) and see if they can tell you a work around.  I can't believe how much paper and HP ink I've wasted on this ridiculous feature."
