,Topic,Count,Name,CustomName,Representation,Representative_Docs
0,-1,1325,-1_the_printer_to_it,outliers,"['the', 'printer', 'to', 'it', 'and', 'this', 'hp', 'for', 'is', 'have']","[""If you don't print much this printer is not for you because you have to have a monthly subscription for paper."", ""Why did it have to do it when you wanted to print something?I just bought this model (8015e) because, for the price, these printers are great for home AND office use, AND because I already had 2 brand new sets of ink cartridges stocked up that weren't cheap and I didn't want to just toss them."", ""It is by no means a work horse I hardly ever use it between that and the app that you have to use to use it and it's constant disconnecting and not sending information to get your instant ink and then the customer service I don't even want to go into that, HP you have fallen from Grace""]"
1,0,124,0_hp_with_support_and,support,"['hp', 'with', 'support', 'and', 'with hp', 'hp and', 'to', 'amazon', 'as', 'my']","['I spent literal hours on the laptop with hp support, which resulted in exactly no actual help.', 'I spent literal hours on the phone with hp support, which resulted in exactly NO actual help.', 'Nope, they want you to go to 123.HP to then get an installer which gave me two errors and had to system restore to get the Hook out of my O.S to throw it in the trash as the version it gave me at the site says my O.S is not new enough albeit Win7 SvcPk1 that is a Minimum.I will take a day off as computers are such a time suck for something that was supposed to be a time saver.']"
2,1,122,1_set_set up_easy_up,set up,"['set', 'set up', 'easy', 'up', 'to set', 'easy to', 'setup', 'to', 'was', 'printer']","['This printer is easy to set up.', 'This was easy to set up and the free ink program was easy to set up!', 'Easy to set up.']"
3,2,101,2_ink_hp_the_you,ink and cartridge,"['ink', 'hp', 'the', 'you', 'to', 'cartridges', 'for', 'and', 'cartridge', 'instant ink']","['I paid for instant ink for months and everything ran smoothly.Then, for no apparent reason, I\'d go to use the printer one day and the touchscreen would just say ""cartridge cannot be used until printer is enrolled in HP instant ink"" ...even though the instant ink subscription was still very much current and active.', ""I cancelled the Instant Ink and I have a week to buy ink (even though the cartridges in the printer are about 80% full) because they're going to not let the printer use those cartridges...which in a way doesn't matter since I can't use the printer anyway, but still, very wasteful and insecure of them.Anyway, there's a bunch of other printers out there, so why add extra stress in your life by buying an HP who want you for your Instant Ink subscription and not because they want to bring happiness into your life when you can provide your kids a fun coloring sheet in 1 minute."", 'I went to the HP ink web page and canceled my $5.99 a month subscription ( a week later they sent me an email informing me that the price was increased to $6.99 a month), and that is when I was informed that if I cancel my ink subscription my printer cartridges will be turned off, and now my ""free"" ink is USELESS and my printer will not print until I replace the full ink cartridges, and a new set of cartridges for the printer will cost About $85.00UpdateAfter I replaced all of the ink cartridges, and turned my printer back on again it said it needed to be set up again.']"
4,3,96,3_wifi_to_my_the,wifi and connection,"['wifi', 'to', 'my', 'the', 'it', 'my wifi', 'wireless', 'connect', 'the printer', 'connection']","[""But since this one is STILL NOT in wifi connection mode (and again, not giving ANY way to do that from the printer) the app can't find the printer, won't connect using wifi direct printing, won't offer me any other options from the app OR the printer screen.So, now it's Christmas."", ""The printer wouldn't allow me to set up and connect it to my wifi."", 'When I asked the rep how weak signal would cause the printer to lose its IP address, he could not answer the question but insisted that I would need to get up from my desk with my Wi-Fi connected computer on it and walk into the next room to turn on my printer, then walk back to my desk with my Wi-Fi connected computer on it to send the print job to the printer, and again walk back to the printer to retrieve the printed documents from the printer that is nice and comfy snuggled in right next to my Wi-Fi router.Now when I turn my new Brother printer on it says ready to print every time.']"
5,4,95,4_tray_paper_paper tray_the paper,paper tray,"['tray', 'paper', 'paper tray', 'the paper', 'the', 'slide', 'to', 'tray is', 'that', 'top']","['The only thing I don’t like is the paper tray.', 'So if you insert the paper tray, you have to insert it rather slowly or the paper will slide back in the tray and the rollers will not pick up the paper.', 'Push the paper tray back in.']"
6,5,83,5_service_customer_customer service_he,customer service,"['service', 'customer', 'customer service', 'he', 'me', 'call', 'they', 'my', 'to', 'my computer']","['When calling customer support they immediately wanted to take over my computer to try to find the issue at first I objected and it took three calls before I finally conceive it so I let them go into my computer and they come back and say that my IP address has been compromised.', ""Once again I am unable to print anything.It is very hard to take customer service reps and their supervisors seriously when they contradict themselves don't listen to you and don't execute on their promises.In general, I think they have a serious attitude problem in customer service."", ""He then told me my computer was corrupted so that's why my printer wasn't working  and wanted to sell me software to take care of it and he would run it on my computer for me.""]"
7,6,78,6_print_slow_to print_printer,print time,"['print', 'slow', 'to print', 'printer', 'it', 'the', 'takes', 'and', 'the printer', 'to']","['memories insufficient on the printer it takes forever to print and process image and color', 'It also forgets everything you set up regularly and I have had to reset it up several times and this most recent time it still won’t print because it says the printer is busy and it thinks it is a different printer with the same name.', 'The printing itself works fine once the printer actually starts printing but the time it takes to ""queue"" up or whatever the printer is doing when making tons of noise is about 1 minute per print job.']"
8,7,74,7_quality_print quality_quality is_print,quality,"['quality', 'print quality', 'quality is', 'print', 'prints', 'the print', 'is', 'the', 'and', 'color']","['The print quality is not very good on this one.', 'The print quality is low.', 'The print quality is fine.']"
9,8,60,8_subscription_ink_the subscription_the,subscription,"['subscription', 'ink', 'the subscription', 'the', 'for', 'canceled', 'instant ink', 'paid', 'instant', 'cancelled']","['I canceled the subscription and was told I would have to buy non-subscription cartridges even though I had plenty of ink left in the subscription ones.', 'Lastly, I canceled the Instant Ink subscription since we had the 2nd ink cartridges that came with the 2nd printer and then 1 set that came out from the subscription.', 'I reenrolled in instant ink to print one page and did the lowest monthly amount because I was told otherwise I would need to go purchase different ink cartridges at the store that were not the instant ink brand even though these were the almost completely full cartridges that came with the printer.Since I reenrolled and paid the monthly fee, I decided to print some things at home that I needed for the next week of school in my classroom and I went over my ""monthly subscription"" limit so I got an email stating that every XX number of pages I went over that I would be charged an additional $1.00 each month.']"
